locationID,name,remarks
MOBI_1SP_RUS,Saint Petersburg,
MOBI_1SJ_NOR,Svalbard,
MOBI_1XK_XKX,Kosovo,
MOBI_1PT-20_PT,Azores,
MOBI_1CL-VS_CHL,Desventuradas,
MOBI_2CL-VS_CHL,Salas y Gómez,
MOBI_3CL-VS _CHL,Juan Fernández,
MOBI_1ES-CN_ESP,Canary Islands,
MOBI_1ES_ESP,Continental Spain,Spain without overseas territories
MOBI_1CL-MA_CHL,Magallanes,Without Antarctica
MOBI_2CL-MA_CHL,Chilean Antarctica,Chilean claimed territory without Magallanes
