locationID,continent,country,stateProvince,county,countryCode,isCustomRegion,verbatimCountry,verbatimLocationID,verbatimISO3,countryCode.1
GEO_17698898B43817755523450,Asia,Afghanistan,Badghis,Jawand,AF,No,Afghanistan,{17698898B43817755523450},AFG,AF
GEO_17698898B64553162233341,Asia,Afghanistan,Badghis,Muqur,AF,No,Afghanistan,{17698898B64553162233341},AFG,AF
GEO_17698898B6337453827047,Asia,Afghanistan,Badghis,Qadis,AF,No,Afghanistan,{17698898B6337453827047},AFG,AF
GEO_17698898B11614254206376,Asia,Afghanistan,Badghis,Qala-I- Naw,AF,No,Afghanistan,{17698898B11614254206376},AFG,AF
GEO_17698898B69264511161666,Asia,Afghanistan,Baghlan,Andarab,AF,No,Afghanistan,{17698898B69264511161666},AFG,AF
GEO_17698898B32644110556911,Asia,Afghanistan,Baghlan,Baghlani Jadid,AF,No,Afghanistan,{17698898B32644110556911},AFG,AF
GEO_17698898B87088675092373,Asia,Afghanistan,Baghlan,Burka,AF,No,Afghanistan,{17698898B87088675092373},AFG,AF
GEO_17698898B98707545256283,Asia,Afghanistan,Baghlan,Dahana-I- Ghuri,AF,No,Afghanistan,{17698898B98707545256283},AFG,AF
GEO_17698898B284678917294,Asia,Afghanistan,Baghlan,Dih Salah,AF,No,Afghanistan,{17698898B284678917294},AFG,AF
GEO_17698898B27904956690533,Asia,Afghanistan,Baghlan,Dushi,AF,No,Afghanistan,{17698898B27904956690533},AFG,AF
GEO_17698898B99069409178709,Asia,Afghanistan,Baghlan,Farang Wa Gharu,AF,No,Afghanistan,{17698898B99069409178709},AFG,AF
GEO_17698898B59041256807288,Asia,Afghanistan,Baghlan,Guzargahi Nur,AF,No,Afghanistan,{17698898B59041256807288},AFG,AF
GEO_17698898B17409379319517,Asia,Afghanistan,Baghlan,Khinjan,AF,No,Afghanistan,{17698898B17409379319517},AFG,AF
GEO_17698898B6565197896692,Asia,Afghanistan,Baghlan,Khost Wa Firing,AF,No,Afghanistan,{17698898B6565197896692},AFG,AF
GEO_17698898B633920692247,Asia,Afghanistan,Baghlan,Khwaja Hijran (Jilga Nahrin),AF,No,Afghanistan,{17698898B633920692247},AFG,AF
GEO_17698898B22383427297645,Asia,Afghanistan,Baghlan,Nahrin,AF,No,Afghanistan,{17698898B22383427297645},AFG,AF
GEO_17698898B10942587519321,Asia,Afghanistan,Baghlan,Puli Hisar,AF,No,Afghanistan,{17698898B10942587519321},AFG,AF
