locationID,continent,country,stateProvince,county,countryCode,locality,remarks,isCustomRegion
MOBI_1GB_AL_DZ_AD_AT_BA_FR_BG_HR_CY_EG_MA_DE_GR_JO_HU_XK_RS_IT_LB_LY_LI_MC_ME_MK_MT_MR_PT_RO_SM_TN_SA_SI_ES_CH_SY_VA_TR_IL_ESH,Africa | Asia | Europe,United Kingdom | Albania | Algeria | Andorra | Austria | Bosnia and Herzegovina | France | Bulgaria | Croatia | Cyprus | Egypt | Morocco | Germany | Greece | Jordan | Hungary | Kosovo | Serbia | Italy | Lebanon | Libya | Liechtenstein | Monaco | Montenegro | North Macedonia | Malta | Mauritania | Portugal | Romania | San Marino | Tunisia | Saudi Arabia | Slovenia | Spain | Switzerland | Syria | Vatican City | Türkiye | Israel | Western Sahara,,,GB | AL | DZ | AD | AT | BA | FR | BG | HR | CY | EG | MA | DE | GR | JO | HU | XK | RS | IT | LB | LY | LI | MC | ME | MK | MT | MR | PT | RO | SM | TN | SA | SI | ES | CH | SY | VA | TR | IL | EH,Mediterranean,,Yes
MOBI_1GB_AL_DZ_AD_AT_BA_FR_BG_HR_CY_EG_MA_DE_GR_JO_HU_XK_RS_IT_LB_LY_LI_MC_ME_MK_MT_MR_PT_RO_SM_TN_SA_SI_ES_CH_SY_VA_TR_IL_ESH ,Africa | Asia | Europe,United Kingdom | Albania | Algeria | Andorra | Austria | Bosnia and Herzegovina | France | Bulgaria | Croatia | Cyprus | Egypt | Morocco | Germany | Greece | Jordan | Hungary | Kosovo | Serbia | Italy | Lebanon | Libya | Liechtenstein | Monaco | Montenegro | North Macedonia | Malta | Mauritania | Portugal | Romania | San Marino | Tunisia | Saudi Arabia | Slovenia | Spain | Switzerland | Syria | Vatican City | Türkiye | Israel | Western Sahara,,,GB | AL | DZ | AD | AT | BA | FR | BG | HR | CY | EG | MA | DE | GR | JO | HU | XK | RS | IT | LB | LY | LI | MC | ME | MK | MT | MR | PT | RO | SM | TN | SA | SI | ES | CH | SY | VA | TR | IL | ESH ,Mediterranean,"Includes the European, Asian and African territory of all countries encoded in the locationID",Yes
MOBI_1KE_TZ_AF,Africa,Kenya | Tanzania,,,KE | TZ,Kenya and Tanzania,Large countries below the Horn of Africa,Yes
MOBI_1LS_ZA_SZ_AF,Africa,South Africa | Lesotho | Eswatini,,,LS | ZA | SZ,"South Africa, Lesotho, and Eswatini",Southern African countries. Eswatini and Lesotho are countries enclosed within South Africa,Yes
MOBI_1LS-ZA-SZ_AF,Africa,South Africa | Lesotho | Eswatini,,,LS | ZA | SZ,"South Africa, Lesotho, and Eswatini",,Yes
MOBI_1LS-ZA-SZ_AF,Africa,South Africa | Lesotho | Eswatini,,,LS | ZA | SZ,"South Africa, Lesotho, and Eswatini",,Yes
MOBI_1LS-ZA-SZ_AF,Africa,South Africa | Lesotho | Eswatini,,,ZA | LS | SZ,"South Africa, Lesotho, and Eswatini",,Yes
MOBI_1LS-ZA-SZ_AF,Africa,South Africa | Lesotho | Eswatini,,,ZA | LS | SZ,"South Africa, Lesotho, and Eswatini",,Yes
MOBI_1LS-ZA-SZ_AF,Africa,South Africa | Lesotho | Eswatini,,,ZA | LS | SZ,"South Africa, Lesotho, and Eswatini",,Yes
MOBI_1PT_PRT,Europe,Portugal,,,PT,Continental Portugal,Portugal without islands,Yes
MOBI_1PT_PRT,Europe,Portugal,,,PT,Continental Portugal,,Yes
MOBI_1PT_PRT,Europe,Portugal,,,PT,Continental Portugal,,Yes
MOBI_1PT_PRT,Europe,Portugal,,,PT,Continental Portugal,,Yes
MOBI_1SJ_NOR,Europe,Norway,,,NO,Svalbard,,Yes
