locationID,continent,country,stateProvince,county,countryCode,locality,isCustomRegion,remarks
MOBI_1SP_RUS,Europe,Russian Federation (the),Saint Petersburg,,RU,,No,Saint Petersburg has a special administrative designation. This code was made only for RegRed usage.
MOBI_1SJ_NOR,Europe,Norway,Svalbard,,NO,,No,
MOBI_1XK_XKX,Europe,Kosovo,,,XK,,No,
MOBI_1PT-20_PT,Europe,Portugal,Azores,,PT,,No,
MOBI_3CL-VS _CHL,Americas,Chile,Región de Valparaíso,Provincia de Valparaíso,CL,Juan Fernández,No,
MOBI_1ES-CN_ESP,Europe,Spain,Canary Islands,,ES,,No,
MOBI_2CL-MA_CHL,Americas,Chile,Región de Magallanes y Antártica Chilena,Provincia de la Antártica Chilena,CL,Chilean Antarctica,No,Chilean claimed territory without Magallanes
MOBI_1CUW_CUW,Americas,Curacao,,,CW,,No,
MOBI_1CO-VAC_COL,Americas,Colombia,Valle del Cauca,,CO,,No,Includes Isla Soldado
